1,A Corua (La Corua),87,2006-02-15 09:45:25.000000
2,Abha,82,2006-02-15 09:45:25.000000
3,Abu Dhabi,101,2006-02-15 09:45:25.000000
4,Acua,60,2006-02-15 09:45:25.000000
5,Adana,97,2006-02-15 09:45:25.000000
6,Addis Abeba,31,2006-02-15 09:45:25.000000
7,Aden,107,2006-02-15 09:45:25.000000
8,Adoni,44,2006-02-15 09:45:25.000000
9,Ahmadnagar,44,2006-02-15 09:45:25.000000
10,Akishima,50,2006-02-15 09:45:25.000000
11,Akron,103,2006-02-15 09:45:25.000000
12,al-Ayn,101,2006-02-15 09:45:25.000000
13,al-Hawiya,82,2006-02-15 09:45:25.000000
14,al-Manama,11,2006-02-15 09:45:25.000000
15,al-Qadarif,89,2006-02-15 09:45:25.000000
16,al-Qatif,82,2006-02-15 09:45:25.000000
17,Alessandria,49,2006-02-15 09:45:25.000000
18,Allappuzha (Alleppey),44,2006-02-15 09:45:25.000000
19,Allende,60,2006-02-15 09:45:25.000000
20,Almirante Brown,6,2006-02-15 09:45:25.000000
21,Alvorada,15,2006-02-15 09:45:25.000000
22,Ambattur,44,2006-02-15 09:45:25.000000
23,Amersfoort,67,2006-02-15 09:45:25.000000
24,Amroha,44,2006-02-15 09:45:25.000000
25,Angra dos Reis,15,2006-02-15 09:45:25.000000
26,Anpolis,15,2006-02-15 09:45:25.000000
27,Antofagasta,22,2006-02-15 09:45:25.000000
28,Aparecida de Goinia,15,2006-02-15 09:45:25.000000
29,Apeldoorn,67,2006-02-15 09:45:25.000000
30,Araatuba,15,2006-02-15 09:45:25.000000
31,Arak,46,2006-02-15 09:45:25.000000
32,Arecibo,77,2006-02-15 09:45:25.000000
33,Arlington,103,2006-02-15 09:45:25.000000
34,Ashdod,48,2006-02-15 09:45:25.000000
35,Ashgabat,98,2006-02-15 09:45:25.000000
36,Ashqelon,48,2006-02-15 09:45:25.000000
37,Asuncin,73,2006-02-15 09:45:25.000000
38,Athenai,39,2006-02-15 09:45:25.000000
39,Atinsk,80,2006-02-15 09:45:25.000000
40,Atlixco,60,2006-02-15 09:45:25.000000
41,Augusta-Richmond County,103,2006-02-15 09:45:25.000000
42,Aurora,103,2006-02-15 09:45:25.000000
43,Avellaneda,6,2006-02-15 09:45:25.000000
44,Bag,15,2006-02-15 09:45:25.000000
45,Baha Blanca,6,2006-02-15 09:45:25.000000
46,Baicheng,23,2006-02-15 09:45:25.000000
47,Baiyin,23,2006-02-15 09:45:25.000000
48,Baku,10,2006-02-15 09:45:25.000000
49,Balaiha,80,2006-02-15 09:45:25.000000
50,Balikesir,97,2006-02-15 09:45:25.000000
51,Balurghat,44,2006-02-15 09:45:25.000000
52,Bamenda,19,2006-02-15 09:45:25.000000
53,Bandar Seri Begawan,16,2006-02-15 09:45:25.000000
54,Banjul,37,2006-02-15 09:45:25.000000
55,Barcelona,104,2006-02-15 09:45:25.000000
56,Basel,91,2006-02-15 09:45:25.000000
57,Bat Yam,48,2006-02-15 09:45:25.000000
58,Batman,97,2006-02-15 09:45:25.000000
59,Batna,2,2006-02-15 09:45:25.000000
60,Battambang,18,2006-02-15 09:45:25.000000
61,Baybay,75,2006-02-15 09:45:25.000000
62,Bayugan,75,2006-02-15 09:45:25.000000
63,Bchar,2,2006-02-15 09:45:25.000000
64,Beira,63,2006-02-15 09:45:25.000000
65,Bellevue,103,2006-02-15 09:45:25.000000
66,Belm,15,2006-02-15 09:45:25.000000
67,Benguela,4,2006-02-15 09:45:25.000000
68,Beni-Mellal,62,2006-02-15 09:45:25.000000
69,Benin City,69,2006-02-15 09:45:25.000000
70,Bergamo,49,2006-02-15 09:45:25.000000
71,Berhampore (Baharampur),44,2006-02-15 09:45:25.000000
72,Bern,91,2006-02-15 09:45:25.000000
73,Bhavnagar,44,2006-02-15 09:45:25.000000
74,Bhilwara,44,2006-02-15 09:45:25.000000
75,Bhimavaram,44,2006-02-15 09:45:25.000000
76,Bhopal,44,2006-02-15 09:45:25.000000
77,Bhusawal,44,2006-02-15 09:45:25.000000
78,Bijapur,44,2006-02-15 09:45:25.000000
79,Bilbays,29,2006-02-15 09:45:25.000000
80,Binzhou,23,2006-02-15 09:45:25.000000
81,Birgunj,66,2006-02-15 09:45:25.000000
82,Bislig,75,2006-02-15 09:45:25.000000
83,Blumenau,15,2006-02-15 09:45:25.000000
84,Boa Vista,15,2006-02-15 09:45:25.000000
85,Boksburg,85,2006-02-15 09:45:25.000000
86,Botosani,78,2006-02-15 09:45:25.000000
87,Botshabelo,85,2006-02-15 09:45:25.000000
88,Bradford,102,2006-02-15 09:45:25.000000
89,Braslia,15,2006-02-15 09:45:25.000000
90,Bratislava,84,2006-02-15 09:45:25.000000
91,Brescia,49,2006-02-15 09:45:25.000000
92,Brest,34,2006-02-15 09:45:25.000000
93,Brindisi,49,2006-02-15 09:45:25.000000
94,Brockton,103,2006-02-15 09:45:25.000000
95,Bucuresti,78,2006-02-15 09:45:25.000000
96,Buenaventura,24,2006-02-15 09:45:25.000000
97,Bydgoszcz,76,2006-02-15 09:45:25.000000
98,Cabuyao,75,2006-02-15 09:45:25.000000
99,Callao,74,2006-02-15 09:45:25.000000
100,Cam Ranh,105,2006-02-15 09:45:25.000000
101,Cape Coral,103,2006-02-15 09:45:25.000000
102,Caracas,104,2006-02-15 09:45:25.000000
103,Carmen,60,2006-02-15 09:45:25.000000
104,Cavite,75,2006-02-15 09:45:25.000000
105,Cayenne,35,2006-02-15 09:45:25.000000
106,Celaya,60,2006-02-15 09:45:25.000000
107,Chandrapur,44,2006-02-15 09:45:25.000000
108,Changhwa,92,2006-02-15 09:45:25.000000
109,Changzhou,23,2006-02-15 09:45:25.000000
110,Chapra,44,2006-02-15 09:45:25.000000
111,Charlotte Amalie,106,2006-02-15 09:45:25.000000
112,Chatsworth,85,2006-02-15 09:45:25.000000
113,Cheju,86,2006-02-15 09:45:25.000000
114,Chiayi,92,2006-02-15 09:45:25.000000
115,Chisinau,61,2006-02-15 09:45:25.000000
116,Chungho,92,2006-02-15 09:45:25.000000
117,Cianjur,45,2006-02-15 09:45:25.000000
118,Ciomas,45,2006-02-15 09:45:25.000000
119,Ciparay,45,2006-02-15 09:45:25.000000
120,Citrus Heights,103,2006-02-15 09:45:25.000000
121,Citt del Vaticano,41,2006-02-15 09:45:25.000000
122,Ciudad del Este,73,2006-02-15 09:45:25.000000
123,Clarksville,103,2006-02-15 09:45:25.000000
124,Coacalco de Berriozbal,60,2006-02-15 09:45:25.000000
125,Coatzacoalcos,60,2006-02-15 09:45:25.000000
126,Compton,103,2006-02-15 09:45:25.000000
127,Coquimbo,22,2006-02-15 09:45:25.000000
128,Crdoba,6,2006-02-15 09:45:25.000000
129,Cuauhtmoc,60,2006-02-15 09:45:25.000000
130,Cuautla,60,2006-02-15 09:45:25.000000
131,Cuernavaca,60,2006-02-15 09:45:25.000000
132,Cuman,104,2006-02-15 09:45:25.000000
133,Czestochowa,76,2006-02-15 09:45:25.000000
134,Dadu,72,2006-02-15 09:45:25.000000
135,Dallas,103,2006-02-15 09:45:25.000000
136,Datong,23,2006-02-15 09:45:25.000000
137,Daugavpils,54,2006-02-15 09:45:25.000000
138,Davao,75,2006-02-15 09:45:25.000000
139,Daxian,23,2006-02-15 09:45:25.000000
140,Dayton,103,2006-02-15 09:45:25.000000
141,Deba Habe,69,2006-02-15 09:45:25.000000
142,Denizli,97,2006-02-15 09:45:25.000000
143,Dhaka,12,2006-02-15 09:45:25.000000
144,Dhule (Dhulia),44,2006-02-15 09:45:25.000000
145,Dongying,23,2006-02-15 09:45:25.000000
146,Donostia-San Sebastin,87,2006-02-15 09:45:25.000000
147,Dos Quebradas,24,2006-02-15 09:45:25.000000
148,Duisburg,38,2006-02-15 09:45:25.000000
149,Dundee,102,2006-02-15 09:45:25.000000
150,Dzerzinsk,80,2006-02-15 09:45:25.000000
151,Ede,67,2006-02-15 09:45:25.000000
152,Effon-Alaiye,69,2006-02-15 09:45:25.000000
153,El Alto,14,2006-02-15 09:45:25.000000
154,El Fuerte,60,2006-02-15 09:45:25.000000
155,El Monte,103,2006-02-15 09:45:25.000000
156,Elista,80,2006-02-15 09:45:25.000000
157,Emeishan,23,2006-02-15 09:45:25.000000
158,Emmen,67,2006-02-15 09:45:25.000000
159,Enshi,23,2006-02-15 09:45:25.000000
160,Erlangen,38,2006-02-15 09:45:25.000000
161,Escobar,6,2006-02-15 09:45:25.000000
162,Esfahan,46,2006-02-15 09:45:25.000000
163,Eskisehir,97,2006-02-15 09:45:25.000000
164,Etawah,44,2006-02-15 09:45:25.000000
165,Ezeiza,6,2006-02-15 09:45:25.000000
166,Ezhou,23,2006-02-15 09:45:25.000000
167,Faaa,36,2006-02-15 09:45:25.000000
168,Fengshan,92,2006-02-15 09:45:25.000000
169,Firozabad,44,2006-02-15 09:45:25.000000
170,Florencia,24,2006-02-15 09:45:25.000000
171,Fontana,103,2006-02-15 09:45:25.000000
172,Fukuyama,50,2006-02-15 09:45:25.000000
173,Funafuti,99,2006-02-15 09:45:25.000000
174,Fuyu,23,2006-02-15 09:45:25.000000
175,Fuzhou,23,2006-02-15 09:45:25.000000
176,Gandhinagar,44,2006-02-15 09:45:25.000000
177,Garden Grove,103,2006-02-15 09:45:25.000000
178,Garland,103,2006-02-15 09:45:25.000000
179,Gatineau,20,2006-02-15 09:45:25.000000
180,Gaziantep,97,2006-02-15 09:45:25.000000
181,Gijn,87,2006-02-15 09:45:25.000000
182,Gingoog,75,2006-02-15 09:45:25.000000
183,Goinia,15,2006-02-15 09:45:25.000000
184,Gorontalo,45,2006-02-15 09:45:25.000000
185,Grand Prairie,103,2006-02-15 09:45:25.000000
186,Graz,9,2006-02-15 09:45:25.000000
187,Greensboro,103,2006-02-15 09:45:25.000000
188,Guadalajara,60,2006-02-15 09:45:25.000000
189,Guaruj,15,2006-02-15 09:45:25.000000
190,guas Lindas de Gois,15,2006-02-15 09:45:25.000000
191,Gulbarga,44,2006-02-15 09:45:25.000000
192,Hagonoy,75,2006-02-15 09:45:25.000000
193,Haining,23,2006-02-15 09:45:25.000000
194,Haiphong,105,2006-02-15 09:45:25.000000
195,Haldia,44,2006-02-15 09:45:25.000000
196,Halifax,20,2006-02-15 09:45:25.000000
197,Halisahar,44,2006-02-15 09:45:25.000000
198,Halle/Saale,38,2006-02-15 09:45:25.000000
199,Hami,23,2006-02-15 09:45:25.000000
200,Hamilton,68,2006-02-15 09:45:25.000000
201,Hanoi,105,2006-02-15 09:45:25.000000
202,Hidalgo,60,2006-02-15 09:45:25.000000
203,Higashiosaka,50,2006-02-15 09:45:25.000000
204,Hino,50,2006-02-15 09:45:25.000000
205,Hiroshima,50,2006-02-15 09:45:25.000000
206,Hodeida,107,2006-02-15 09:45:25.000000
207,Hohhot,23,2006-02-15 09:45:25.000000
208,Hoshiarpur,44,2006-02-15 09:45:25.000000
209,Hsichuh,92,2006-02-15 09:45:25.000000
210,Huaian,23,2006-02-15 09:45:25.000000
211,Hubli-Dharwad,44,2006-02-15 09:45:25.000000
212,Huejutla de Reyes,60,2006-02-15 09:45:25.000000
213,Huixquilucan,60,2006-02-15 09:45:25.000000
214,Hunuco,74,2006-02-15 09:45:25.000000
215,Ibirit,15,2006-02-15 09:45:25.000000
216,Idfu,29,2006-02-15 09:45:25.000000
217,Ife,69,2006-02-15 09:45:25.000000
218,Ikerre,69,2006-02-15 09:45:25.000000
219,Iligan,75,2006-02-15 09:45:25.000000
220,Ilorin,69,2006-02-15 09:45:25.000000
221,Imus,75,2006-02-15 09:45:25.000000
222,Inegl,97,2006-02-15 09:45:25.000000
223,Ipoh,59,2006-02-15 09:45:25.000000
224,Isesaki,50,2006-02-15 09:45:25.000000
225,Ivanovo,80,2006-02-15 09:45:25.000000
226,Iwaki,50,2006-02-15 09:45:25.000000
227,Iwakuni,50,2006-02-15 09:45:25.000000
228,Iwatsuki,50,2006-02-15 09:45:25.000000
229,Izumisano,50,2006-02-15 09:45:25.000000
230,Jaffna,88,2006-02-15 09:45:25.000000
231,Jaipur,44,2006-02-15 09:45:25.000000
232,Jakarta,45,2006-02-15 09:45:25.000000
233,Jalib al-Shuyukh,53,2006-02-15 09:45:25.000000
234,Jamalpur,12,2006-02-15 09:45:25.000000
235,Jaroslavl,80,2006-02-15 09:45:25.000000
236,Jastrzebie-Zdrj,76,2006-02-15 09:45:25.000000
237,Jedda,82,2006-02-15 09:45:25.000000
238,Jelets,80,2006-02-15 09:45:25.000000
239,Jhansi,44,2006-02-15 09:45:25.000000
240,Jinchang,23,2006-02-15 09:45:25.000000
241,Jining,23,2006-02-15 09:45:25.000000
242,Jinzhou,23,2006-02-15 09:45:25.000000
243,Jodhpur,44,2006-02-15 09:45:25.000000
244,Johannesburg,85,2006-02-15 09:45:25.000000
245,Joliet,103,2006-02-15 09:45:25.000000
246,Jos Azueta,60,2006-02-15 09:45:25.000000
247,Juazeiro do Norte,15,2006-02-15 09:45:25.000000
248,Juiz de Fora,15,2006-02-15 09:45:25.000000
249,Junan,23,2006-02-15 09:45:25.000000
250,Jurez,60,2006-02-15 09:45:25.000000
251,Kabul,1,2006-02-15 09:45:25.000000
252,Kaduna,69,2006-02-15 09:45:25.000000
253,Kakamigahara,50,2006-02-15 09:45:25.000000
254,Kaliningrad,80,2006-02-15 09:45:25.000000
255,Kalisz,76,2006-02-15 09:45:25.000000
256,Kamakura,50,2006-02-15 09:45:25.000000
257,Kamarhati,44,2006-02-15 09:45:25.000000
258,Kamjanets-Podilskyi,100,2006-02-15 09:45:25.000000
259,Kamyin,80,2006-02-15 09:45:25.000000
260,Kanazawa,50,2006-02-15 09:45:25.000000
261,Kanchrapara,44,2006-02-15 09:45:25.000000
262,Kansas City,103,2006-02-15 09:45:25.000000
263,Karnal,44,2006-02-15 09:45:25.000000
264,Katihar,44,2006-02-15 09:45:25.000000
265,Kermanshah,46,2006-02-15 09:45:25.000000
266,Kilis,97,2006-02-15 09:45:25.000000
267,Kimberley,85,2006-02-15 09:45:25.000000
268,Kimchon,86,2006-02-15 09:45:25.000000
269,Kingstown,81,2006-02-15 09:45:25.000000
270,Kirovo-Tepetsk,80,2006-02-15 09:45:25.000000
271,Kisumu,52,2006-02-15 09:45:25.000000
272,Kitwe,109,2006-02-15 09:45:25.000000
273,Klerksdorp,85,2006-02-15 09:45:25.000000
274,Kolpino,80,2006-02-15 09:45:25.000000
275,Konotop,100,2006-02-15 09:45:25.000000
276,Koriyama,50,2006-02-15 09:45:25.000000
277,Korla,23,2006-02-15 09:45:25.000000
278,Korolev,80,2006-02-15 09:45:25.000000
279,Kowloon and New Kowloon,42,2006-02-15 09:45:25.000000
280,Kragujevac,108,2006-02-15 09:45:25.000000
281,Ktahya,97,2006-02-15 09:45:25.000000
282,Kuching,59,2006-02-15 09:45:25.000000
283,Kumbakonam,44,2006-02-15 09:45:25.000000
284,Kurashiki,50,2006-02-15 09:45:25.000000
285,Kurgan,80,2006-02-15 09:45:25.000000
286,Kursk,80,2006-02-15 09:45:25.000000
287,Kuwana,50,2006-02-15 09:45:25.000000
288,La Paz,60,2006-02-15 09:45:25.000000
289,La Plata,6,2006-02-15 09:45:25.000000
290,La Romana,27,2006-02-15 09:45:25.000000
291,Laiwu,23,2006-02-15 09:45:25.000000
292,Lancaster,103,2006-02-15 09:45:25.000000
293,Laohekou,23,2006-02-15 09:45:25.000000
294,Lapu-Lapu,75,2006-02-15 09:45:25.000000
295,Laredo,103,2006-02-15 09:45:25.000000
296,Lausanne,91,2006-02-15 09:45:25.000000
297,Le Mans,34,2006-02-15 09:45:25.000000
298,Lengshuijiang,23,2006-02-15 09:45:25.000000
299,Leshan,23,2006-02-15 09:45:25.000000
300,Lethbridge,20,2006-02-15 09:45:25.000000
301,Lhokseumawe,45,2006-02-15 09:45:25.000000
